p, N, MyAllReduce, NaiveReduce, MPILibraryReduce

1, 1, 7.000000, 25.000000, 10.000000
1, 2, 10.000000, 31.000000, 11.000000
1, 4, 10.000000, 34.000000, 14.000000
1, 8, 15.000000, 44.000000, 18.000000
1, 16, 24.000000, 41.000000, 30.000000
1, 32, 37.000000, 64.000000, 40.000000
1, 64, 68.000000, 99.000000, 70.000000
1, 128, 130.000000, 155.000000, 138.000000
1, 256, 254.000000, 282.000000, 282.000000
1, 512, 501.000000, 537.000000, 503.000000
1, 1024, 998.000000, 1049.000000, 1004.000000

2, 1, 33.000000, 21.000000, 30.000000
2, 2, 27.000000, 18.000000, 13.000000
2, 4, 30.000000, 23.000000, 16.000000
2, 8, 28.000000, 15.000000, 18.000000
2, 16, 30.000000, 19.000000, 23.000000
2, 32, 35.000000, 27.000000, 31.000000
2, 64, 61.000000, 48.000000, 45.000000
2, 128, 100.000000, 75.000000, 76.000000
2, 256, 150.000000, 139.000000, 149.000000
2, 512, 275.000000, 266.000000, 263.000000
2, 1024, 514.000000, 517.000000, 512.000000

4, 1, 50.000000, 39.000000, 21.000000
4, 2, 107.000000, 94.000000, 75.000000
4, 4, 146.000000, 111.000000, 54.000000
4, 8, 65.000000, 37.000000, 36.000000
4, 16, 51.000000, 28.000000, 21.000000
4, 32, 47.000000, 32.000000, 31.000000
4, 64, 55.000000, 40.000000, 39.000000
4, 128, 62.000000, 55.000000, 60.000000
4, 256, 235.000000, 143.000000, 136.000000
4, 512, 161.000000, 164.000000, 148.000000
4, 1024, 292.000000, 287.000000, 263.000000

8, 1, 242.000000, 134.000000, 95.000000
8, 2, 214.000000, 116.000000, 34.000000
8, 4, 228.000000, 111.000000, 93.000000
8, 8, 225.000000, 127.000000, 31.000000
8, 16, 202.000000, 109.000000, 36.000000
8, 32, 193.000000, 120.000000, 96.000000
8, 64, 206.000000, 319.000000, 65.000000
8, 128, 234.000000, 106.000000, 102.000000
8, 256, 286.000000, 132.000000, 110.000000
8, 512, 304.000000, 162.000000, 149.000000
8, 1024, 352.000000, 234.000000, 213.000000

16, 1, 1430.000000, 1500.000000, 121.000000
16, 2, 1236.000000, 1570.000000, 40.000000
16, 4, 1160.000000, 1457.000000, 178.000000
16, 8, 1228.000000, 1099.000000, 274.000000
16, 16, 1383.000000, 1467.000000, 126.000000
16, 32, 1254.000000, 1486.000000, 114.000000
16, 64, 1323.000000, 1059.000000, 407.000000
16, 128, 1257.000000, 978.000000, 424.000000
16, 256, 1363.000000, 1098.000000, 479.000000
16, 512, 1265.000000, 1358.000000, 271.000000
16, 1024, 1315.000000, 1348.000000, 264.000000

32, 1, 2545.000000, 3178.000000, 131.000000
32, 2, 2606.000000, 3419.000000, 132.000000
32, 4, 2500.000000, 3291.000000, 130.000000
32, 8, 2314.000000, 3336.000000, 47.000000
32, 16, 2501.000000, 3188.000000, 136.000000
32, 32, 2411.000000, 2875.000000, 591.000000
32, 64, 2477.000000, 3428.000000, 131.000000
32, 128, 2537.000000, 3315.000000, 148.000000
32, 256, 2707.000000, 3426.000000, 139.000000
32, 512, 2357.000000, 3337.000000, 156.000000
32, 1024, 2573.000000, 3377.000000, 158.000000
